Cycle_ID,PS1_mean,PS1_std,PS1_min,PS1_max,PS1_range,PS1_median,PS1_rms,PS1_slope,PS1_skew,PS1_kurtosis,PS2_mean,PS2_std,PS2_min,PS2_max,PS2_range,PS2_median,PS2_rms,PS2_slope,PS2_skew,PS2_kurtosis,PS3_mean,PS3_std,PS3_min,PS3_max,PS3_range,PS3_median,PS3_rms,PS3_slope,PS3_skew,PS3_kurtosis,PS4_mean,PS4_std,PS4_min,PS4_max,PS4_range,PS4_median,PS4_rms,PS4_slope,PS4_skew,PS4_kurtosis,PS5_mean,PS5_std,PS5_min,PS5_max,PS5_range,PS5_median,PS5_rms,PS5_slope,PS5_skew,PS5_kurtosis,PS6_mean,PS6_std,PS6_min,PS6_max,PS6_range,PS6_median,PS6_rms,PS6_slope,PS6_skew,PS6_kurtosis,EPS1_mean,EPS1_std,EPS1_min,EPS1_max,EPS1_range,EPS1_median,EPS1_rms,EPS1_slope,EPS1_skew,EPS1_kurtosis,FS1_mean,FS1_std,FS1_min,FS1_max,FS1_range,FS1_median,FS1_rms,FS1_slope,FS1_skew,FS1_kurtosis,FS2_mean,FS2_std,FS2_min,FS2_max,FS2_range,FS2_median,FS2_rms,FS2_slope,FS2_skew,FS2_kurtosis,TS1_mean,TS1_std,TS1_min,TS1_max,TS1_range,TS1_median,TS1_rms,TS1_slope,TS1_skew,TS1_kurtosis,TS2_mean,TS2_std,TS2_min,TS2_max,TS2_range,TS2_median,TS2_rms,TS2_slope,TS2_skew,TS2_kurtosis,TS3_mean,TS3_std,TS3_min,TS3_max,TS3_range,TS3_median,TS3_rms,TS3_slope,TS3_skew,TS3_kurtosis,TS4_mean,TS4_std,TS4_min,TS4_max,TS4_range,TS4_median,TS4_rms,TS4_slope,TS4_skew,TS4_kurtosis,VS1_mean,VS1_std,VS1_min,VS1_max,VS1_range,VS1_median,VS1_rms,VS1_slope,VS1_skew,VS1_kurtosis,SE_mean,SE_std,SE_min,SE_max,SE_range,SE_median,SE_rms,SE_slope,SE_skew,SE_kurtosis,CE_mean,CE_std,CE_min,CE_max,CE_range,CE_median,CE_rms,CE_slope,CE_skew,CE_kurtosis,CP_mean,CP_std,CP_min,CP_max,CP_range,CP_median,CP_rms,CP_slope,CP_skew,CP_kurtosis,Cooler_Condition,Valve_Condition,Pump_Leakage,Accumulator_Pressure,Stable_Flag
1,160.67349166666625,13.938146895896809,145.83,191.51,45.67999999999998,156.25,161.27691360901838,-4.6666666666666855e-05,1.273047584930571,0.4955659907722656,109.46691350000005,47.11058133967771,0.0,156.99,156.99,129.365,119.17387308206001,-6.666666666666762e-05,-1.837852532111228,1.5088543118190572,1.9914753333333262,0.9456260217751014,0.0,10.039,10.039,2.297,2.204582177269241,-1.5666666666666718e-05,-0.37357865088393344,6.522165523884141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.842169500000013,0.08814660762852236,9.681,10.016,0.33500000000000085,9.844,9.84256421321025,-3.5666666666666736e-05,-0.0011777184011176822,-1.2682276408160258,9.72809749999997,0.08535905728402078,9.568,9.887,0.31900000000000084,9.733,9.728471983727372,-3.383333333333323e-05,-0.0666427697741744,-1.2850506328638558,2538.929166666707,185.6006523407326,2339.8,2951.6,611.7999999999997,2479.8,2545.704011761819,-0.0003333333333333333,1.239186154335809,0.42555507703068995,6.709815000000007,3.012913997131074,0.0,18.71,18.71,7.836,7.355220464971351,-0.0015900000000000011,-1.399797045957221,1.6617361437447844,10.304591666666655,0.09169501039072712,10.148,10.446,0.29800000000000004,10.327,10.304999630842621,0.0003233333333333318,-0.316691359255077,-1.3912515019957068,35.62198333333334,0.3056504807601146,35.156,36.152,0.9960000000000022,35.572,35.62329460923942,0.009700000000000012,0.037037948987927186,-1.3340027486832147,40.97876666666664,0.15301049709814796,40.773,41.25,0.47699999999999676,40.963,40.979052328394985,0.004816666666666691,0.1349594136215437,-1.426221361670578,38.471016666666664,0.08395047978156908,38.316,38.613,0.29699999999999704,38.496,38.47110826386472,0.0045666666666666815,-0.7086753156287966,-0.7087088525849965,31.745250000000006,1.1071352917176234,30.363,33.594,3.2310000000000016,31.576,31.764550148186686,0.053200000000000004,0.24770646957101547,-1.3911135879261483,0.5769500000000001,0.026851706960017745,0.532,0.624,0.09199999999999997,0.577,0.5775745117875846,-0.0010166666666666657,-0.044978151332333384,-1.27510141610896,59.15718333333337,23.565118748191974,0.0,79.568,79.568,68.5145,63.67799589771963,0.0037499999999999053,-2.030800899792831,2.3396393154704667,39.60135,6.317224210640305,28.866,47.438,18.572000000000003,40.6755,40.10204787227206,-0.3056,-0.26701542536199974,-1.4196853704428434,1.8627499999999997,0.2770471455065605,1.383,2.188,0.8050000000000002,1.924,1.8832399431122246,-0.013350000000000002,-0.345512811808207,-1.4064974006420234,3,100,0,130,1
2,160.60332000000074,14.117790860386219,145.73,191.47,45.74000000000001,156.06,161.22263617060756,-4.1666666666666665e-05,1.2786904497651252,0.46017382216841796,109.3548903333334,47.041690392766974,0.0,157.56,157.56,129.385,119.04374269496333,-3.33333333333267e-06,-1.8383507726057677,1.5110863433504225,1.9762343333333219,0.9418885256518036,0.0,9.992,9.992,2.273,2.18921358825489,-1.0333333333333379e-05,-0.31281367138301364,6.949744564527817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.635142166666707,0.038388604498021735,9.557,9.745,0.18799999999999883,9.632,9.635218640842272,-1.2833333333333326e-05,0.28977231207917387,-0.5640135401856732,9.529487833333397,0.03631303969612295,9.454,9.637,0.18299999999999983,9.526,9.529557020265932,-1.2500000000000178e-05,0.23628025375683662,-0.515115666299113,2531.498900000043,189.92425995324925,2332.0,2947.4,615.4000000000001,2470.0,2538.613382384158,-0.0019666666666666214,1.2667057677102502,0.4235669712666166,6.715314999999993,3.0037418829034426,0.0,18.712,18.712,7.853,7.3564883503158836,-0.0017150000000000012,-1.446472498200316,1.6379207028159195,10.403098333333327,0.019145895919375416,10.352,10.453,0.10099999999999909,10.403,10.403115951402892,-2.8333333333332434e-05,-0.0005085889520223813,-0.37376497593052704,36.676966666666665,0.580838502129082,35.648,37.488,1.8399999999999963,36.7675,36.681565632253665,0.022016666666666632,-0.29129341259168884,-1.3494155465166617,41.53276666666667,0.3354040034876681,41.031,42.105,1.073999999999998,41.518,41.53412094691945,0.01411666666666657,0.11524623471363236,-1.4338601508139703,38.97896666666667,0.1754400150732124,38.668,39.254,0.5859999999999985,38.9845,38.97936148271288,0.009500000000000005,-0.06792840639170172,-0.9589454816092182,34.49386666666666,0.43166964477737146,33.648,35.148,1.5,34.553,34.49656760171945,0.02454999999999998,-0.30529121719246555,-1.0659709204870775,0.5658500000000001,0.02701285187955292,0.524,0.626,0.10199999999999998,0.5595000000000001,0.5664944100930447,-0.0009333333333333323,0.7707890474851408,-0.2388389509041624,59.33561666666665,23.65826676174149,0.0,80.441,80.441,68.536,63.8782356627305,0.005516666666666717,-2.0226894981989654,2.3224869672233845,25.786433333333324,1.6720192320132632,23.32,29.208,5.887999999999998,25.3855,25.840584211017106,-0.09366666666666662,0.401014542622249,-1.0974937276448642,1.2555500000000002,0.07398072384074111,1.147,1.414,0.2669999999999999,1.234,1.2577276931037178,-0.004166666666666667,0.40225218092877857,-1.1495073848108572,3,100,0,130,1
3,160.34771999999944,14.1914357766083,145.37,191.41,46.03999999999999,155.72,160.97449536681438,-3.166666666666629e-05,1.2828506185086546,0.4641342718382697,109.15884466666672,46.988144099359886,0.0,156.97,156.97,129.325,118.842496838731,-4.1666666666666665e-05,-1.8375452746731926,1.5084801468621212,1.9722239999999964,0.9434222065565051,0.0,10.914,10.914,2.273,2.186255466774152,6.500000000000024e-06,-0.19602279588779836,8.213201626427663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.5305478333333,0.035813666553038644,9.455,9.64,0.1850000000000005,9.528,9.530615122969037,-1.4166666666666514e-05,0.1868892662877156,-0.49329790000523177,9.427948833333366,0.03602798748157094,9.348,9.536,0.18799999999999883,9.425,9.428017671803266,-1.366666666666679e-05,0.18550024516155095,-0.5070923254117345,2519.9280000000276,190.72095417826145,2318.6,2939.8,621.2000000000003,2457.4,2527.1350592215335,-0.0023333333333333335,1.2706048594137382,0.42569427797850556,6.718521666666663,3.011735378957439,0.0,18.698,18.698,7.8469999999999995,7.362681806131056,-0.0020450000000000004,-1.4318626777468284,1.6245734570267416,10.366249999999996,0.0263392134785127,10.296,10.443,0.14700000000000024,10.367,10.366283462102826,-5.999999999999931e-05,0.07387091604754986,-0.42636956901066103,37.88080000000001,0.5544897594485703,36.879,38.621,1.7420000000000044,38.0235,37.88485802445791,0.018883333333333377,-0.45248243062940696,-1.236851251504247,42.44245000000001,0.38731965373147137,41.832,43.039,1.2070000000000007,42.423500000000004,42.4442172564964,0.01509999999999998,-0.04217529969384189,-1.4362955264748196,39.63194999999999,0.24903168640422677,39.234,40.062,0.8279999999999959,39.626999999999995,39.63273240117735,0.013483333333333292,0.02960881364316467,-0.9068996807772196,35.64615,0.2914298557686449,35.098,36.141,1.0429999999999993,35.635,35.64734129192995,0.016800000000000044,-0.0945717886920333,-1.05855451659699,0.5765333333333332,0.036421818857504736,0.529,0.662,0.133,0.562,0.5776826406716178,-0.0007333333333333321,0.9341033090653756,-0.04235146642067411,59.543150000000004,23.723181352020077,0.0,80.824,80.824,68.85300000000001,64.09505476542893,0.0005500000000000208,-2.0277889242841822,2.338351549034803,22.21823333333334,0.6330032218629612,21.22,23.554,2.3339999999999996,22.104,22.227248717133964,-0.03391666666666667,0.304238983791643,-1.1037118840249323,1.113216666666666,0.02306880409172139,1.076,1.159,0.08299999999999996,1.1095000000000002,1.1134556644369216,-0.0009333333333333342,0.2456556422743971,-0.8778932197643656,3,100,0,130,1
4,160.1880883333334,14.226617261160076,145.14,191.34,46.20000000000002,155.56,160.81859433095053,-3.333333333333144e-05,1.2863531682763125,0.470639549267696,109.06480716666653,46.96830697471048,0.0,156.44,156.44,128.865,118.74828008174639,-5.666666666666723e-05,-1.8371201069396028,1.507613016750379,1.9465754999999827,0.9354562410751202,0.0,10.297,10.297,2.242,2.159683901909391,-7.833333333333284e-06,-0.16620055290597147,7.88334923612315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.438826666666722,0.03706549098854894,9.363,9.535,0.1720000000000006,9.436,9.438899442943608,-1.800000000000009e-05,0.1624563536464662,-0.6584300860555725,9.337429500000049,0.037371785655535734,9.257,9.431,0.1739999999999995,9.335,9.3375042874332,-1.6166666666666886e-05,0.16019370312505649,-0.6688051515186397,2511.541633333386,191.25466673173452,2310.8,2929.6,618.7999999999997,2448.0,2518.813157721968,-0.001966666666666697,1.2773495853285532,0.4418548660500208,6.720564999999993,3.0176576958144734,0.0,18.896,18.896,7.843,7.366970333069988,-0.0021016666666666683,-1.4066697138314803,1.6557174683199865,10.302678333333336,0.026727355472540782,10.241,10.382,0.14100000000000001,10.302,10.302713001518898,-0.00011333333333333566,0.269415718612918,-0.33174088163538773,38.879049999999985,0.5118562110918783,37.887,39.473,1.5859999999999985,39.055,38.88241923650498,0.01379999999999993,-0.5435544390306413,-1.115967940076387,43.40398333333333,0.3951411769510011,42.805,43.988,1.1829999999999998,43.364999999999995,43.405781939161045,0.015816666666666635,0.012764909651178985,-1.5067878123066094,40.403383333333345,0.2830451725824377,40.023,40.934,0.9109999999999943,40.342,40.40437475509304,0.013933333333333308,0.44182678694712463,-0.911407888489304,36.579466666666654,0.2602009138253664,36.105,36.988,0.8830000000000027,36.635000000000005,36.580392099228966,0.014249999999999948,-0.19025200758510227,-1.1703696686290685,0.5692666666666667,0.03318376443717954,0.527,0.645,0.118,0.555,0.5702330225442929,-0.0003833333333333318,1.0077751678544495,-0.16555487325055918,59.79489999999999,23.821971717093444,0.0,80.93,80.93,69.006,64.36549077339504,0.003999999999999915,-2.02896921021959,2.338694147559271,20.45981666666667,0.451941127864632,19.673,21.565,1.892000000000003,20.4805,20.464807568522765,-0.01895000000000001,0.1838347238496404,-0.2515272706819962,1.0621500000000001,0.024415039763774026,1.022,1.107,0.08499999999999996,1.0659999999999998,1.0624305702805554,-0.00016666666666666682,-0.027257450989424652,-1.0365500068397868,3,100,0,130,1
5,160.0004716666663,14.275244294262013,144.95,191.41,46.46000000000001,155.34,160.63602812948344,-3.6666666666666476e-05,1.2923149807831977,0.481844170427717,108.93143433333374,46.87103981145827,0.0,158.13,158.13,129.0,118.58731702389007,-3.499999999999896e-05,-1.837496221432361,1.5097237954788785,1.9227069999999837,0.9302579501502176,0.0,11.102,11.102,2.219,2.135926511298221,7.833333333333359e-06,0.01799196251818763,9.731260115700648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.358761999999949,0.02977660753007307,9.29,9.443,0.15300000000000047,9.358,9.35880936973296,-1.2499999999999882e-05,0.24424709986742255,-0.47489774661936357,9.260636166666663,0.02859006456747199,9.195,9.342,0.14700000000000024,9.26,9.260680299155537,-1.3999999999999939e-05,0.20520275449988853,-0.4590021319721087,2503.4495000000343,191.24243025476636,2301.8,2923.8,622.0,2440.6,2510.7435285548568,-0.00040000000000001514,1.2809431409206353,0.45410519611734346,6.690308333333334,3.0090395815382505,0.0,18.876,18.876,7.831,7.335839747318179,-0.001506666666666665,-1.4226622859376399,1.6194433623666997,10.23775,0.029146140396285672,10.179,10.312,0.13299999999999912,10.236,10.23779148840218,-0.00010000000000000083,0.2757498539794293,-0.7502311138109481,39.80391666666669,0.5308934699060522,38.789,40.391,1.6019999999999968,39.967,39.8074569632793,0.015499999999999995,-0.5128692439167497,-1.194279307429661,44.332750000000004,0.369649456692869,43.742,44.887,1.1450000000000031,44.335499999999996,44.3342910542543,0.014000000000000058,-0.021588866580454513,-1.4325053950656044,41.310550000000006,0.29112250714547444,40.859,41.777,0.9179999999999993,41.34,41.31157578229941,0.01373333333333342,-0.08323477280351113,-1.1573802528297603,37.427899999999994,0.23756575931728854,36.992,37.781,0.7890000000000015,37.439,37.428653941866514,0.012700000000000008,-0.18139408253605446,-1.1635019690501116,0.5773666666666666,0.03320339674725396,0.524,0.66,0.136,0.576,0.5783206146536135,-0.0005499999999999986,0.7959138566584733,0.02794513328919912,59.455266666666674,23.771653460839072,0.0,81.1,81.1,69.013,64.03140044280359,0.00173333333333332,-2.000267237378292,2.2686550023970566,19.787016666666677,0.28772831465734405,19.133,20.46,1.3270000000000017,19.798499999999997,19.789108523377195,-0.007400000000000044,-0.02557950783228063,-0.07393705429032238,1.0704666666666671,0.021297469854943393,1.016,1.106,0.09000000000000008,1.0725,1.070678507614058,0.00033333333333333365,-0.4820679066315119,-0.3572089523952431,3,100,0,130,1
6,159.9202100000004,14.274880960013862,144.71,191.28,46.56999999999999,155.23,160.55605187244277,-4.833333333333674e-05,1.2973817810419488,0.49199190653430325,108.88768166666719,46.84035491079615,0.0,156.55,156.55,128.93,118.534999333153,-3.499999999999896e-05,-1.8381360970886254,1.5116814008050747,1.91328449999999,0.9325252332026939,0.0,11.453,11.453,2.211,2.1284409525518706,-6.500000000000024e-06,0.12177632418805777,10.314390294017189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.301159666666644,0.03106825024397475,9.233,9.381,0.1479999999999997,9.3,9.30121155446966,-1.2833333333333326e-05,0.09267987289587422,-0.6378101186339031,9.206877000000002,0.030223862608872335,9.141,9.287,0.1460000000000008,9.206,9.206926608537737,-1.2333333333333307e-05,0.10132908401186252,-0.6320295597970538,2501.007066666737,191.50261074825073,2297.0,2920.6,623.5999999999999,2437.8,2508.328048210587,0.00013333333333336364,1.2803470322554296,0.44828048231055284,6.699023333333328,3.002352384845737,0.0,18.96,18.96,7.8395,7.341051250558964,-0.001868333333333334,-1.435812880036293,1.6527066038004445,10.178720000000004,0.0224284402786581,10.126,10.256,0.13000000000000078,10.177,10.178744710097279,-8.999999999999748e-05,0.4294422269296233,0.03847403533929761,40.65944999999999,0.5062072508699708,39.633,41.227,1.593999999999994,40.7695,40.662600999977045,0.013816666666666559,-0.5644498336840427,-1.0692733714198257,45.17061666666665,0.3668736427194273,44.605,45.687,1.0820000000000007,45.133,45.1721065074086,0.013349999999999914,-0.0728371922429755,-1.439938200692159,42.12411666666665,0.2641018800681953,41.746,42.609,0.8629999999999995,42.168,42.124944566729106,0.014116666666666689,0.060003845422234955,-1.0422992520414511,38.21206666666665,0.21121259958208502,37.824,38.586,0.7620000000000005,38.262,38.21265038832036,0.012049999999999983,-0.15378363234109663,-1.0714695275194148,0.5726833333333334,0.030474301559765972,0.525,0.643,0.118,0.5665,0.5734935774124531,-0.00023333333333333168,0.5309028391653096,-0.8954349862397271,59.56333333333331,23.781476893208765,0.0,80.946,80.946,68.934,64.13539834599922,-0.007666666666666562,-2.011576287028244,2.295740768232455,19.149683333333336,0.27496530033604033,18.588,19.651,1.0629999999999988,19.162,19.151657309051174,-0.0045666666666666815,-0.3847054218654588,-0.3549782228808316,1.0720833333333333,0.020954945054144677,1.024,1.109,0.08499999999999996,1.074,1.0722881064962593,0.0004333333333333337,-0.3134041597461766,-0.32886957416760154,3,100,0,130,1
7,159.67267499999937,14.369921002834593,144.49,191.19,46.69999999999999,154.97,160.31798954354173,-1.999999999999602e-05,1.29315636679656,0.48431242839737454,108.67646550000013,46.785489431401174,0.0,155.04,155.04,128.675,118.31929755922424,3.33333333333267e-06,-1.8360365019800506,1.506311215070541,1.8880996666666647,0.915723298491395,0.0,10.312,10.312,2.172,2.0984445455304734,-7.833333333333359e-06,-0.06628917853935684,8.19331041565738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.233941833333331,0.02551314922359715,9.17,9.302,0.13199999999999967,9.233,9.233977079361184,-1.6166666666666588e-05,0.11998133427391917,-0.5737520933706204,9.14332016666673,0.025539453008477077,9.075,9.208,0.1330000000000009,9.144,9.143355835459602,-1.800000000000009e-05,0.07524514995094221,-0.5861165523393197,2494.4169000000775,193.32574269280036,2290.0,2921.6,631.5999999999999,2431.6,2501.897382746447,-0.0023333333333333335,1.2764774936844807,0.4403148048590868,6.6985733333333295,3.0100042211413744,0.0,19.208,19.208,7.817,7.343773560870006,-0.0026200000000000017,-1.4005814789085445,1.7009996252207715,10.140809999999998,0.0175919650219449,10.091,10.2,0.10899999999999999,10.141,10.140825258988201,-1.1666666666666122e-05,0.19947401059547784,0.05878002080214095,41.46363333333333,0.5062107916229716,40.539,42.062,1.5229999999999961,41.566,41.46672326778023,0.013983333333333311,-0.47640264425562134,-1.1916737865320666,45.94723333333334,0.3392976258226524,45.363,46.457,1.0940000000000012,45.947,45.948486088952556,0.012883333333333387,-0.10552230589939159,-1.3526618989805275,42.88811666666665,0.20025967239783707,42.598,43.203,0.605000000000004,42.9005,42.88858420547361,0.009633333333333265,-0.10143617948431025,-1.2880075974278886,38.93209999999999,0.1926808847118292,38.562,39.242,0.6799999999999997,38.928,38.932576800583504,0.01101666666666657,-0.2534543639392815,-1.0565309740099484,0.5730333333333333,0.032612863855983096,0.518,0.649,0.131,0.566,0.5739606258272427,-0.0007499999999999988,0.6643085184801244,-0.14661334680962446,59.789899999999975,23.838919311146075,0.0,80.848,80.848,69.113,64.36712061241619,0.0009000000000000341,-2.0232574859614947,2.3223655639198455,18.666383333333332,0.23630115613108815,18.348,19.415,1.0670000000000002,18.6075,18.667878963163794,-0.014699999999999965,0.9536252547673502,0.756733523834543,1.0816833333333336,0.012546568809395224,1.053,1.11,0.05700000000000016,1.08,1.0817560954300187,-0.0005000000000000004,0.051371559947117826,-0.024812317203569023,3,100,0,130,1
8,159.61445166666644,14.386304973805094,144.41,191.17,46.75999999999999,154.91,160.26147057745982,8.333333333335228e-06,1.286815221482156,0.4808257463513925,108.6517446666669,46.80274048650143,0.0,159.09,159.09,128.72,118.30341557265902,1.0000000000000379e-05,-1.8354278163638476,1.5051833663510195,1.8748941666666623,0.9174831916531138,0.0,10.398,10.398,2.164,2.087343657179286,-1.166666666666664e-05,0.02665410294684074,8.625298609653463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.194159166666767,0.026464690299319495,9.125,9.26,0.1349999999999998,9.194,9.194197254890343,-8.000000000000006e-06,-0.029679108858683096,-0.7198834341474396,9.105058166666646,0.027310403084518566,9.04,9.172,0.13200000000000145,9.105,9.1050991250233,-5.500000000000208e-06,-0.055545739980209986,-0.698073353814161,2489.421533333364,192.10701577414818,2285.0,2913.0,628.0,2425.8,2496.822916454677,-0.00030000000000003033,1.261749878174897,0.4225077468380203,6.678026666666669,3.0022095722909783,0.0,19.333,19.333,7.802,7.321837370268928,-0.0021616666666666663,-1.396758852365385,1.7342567765533152,10.095978333333333,0.018805084344990924,10.049,10.156,0.1070000000000011,10.096,10.095995846786652,-5.666666666666783e-05,0.04174010217630718,-0.3110489907622158,42.215266666666665,0.4785368626228167,41.227,42.734,1.507000000000005,42.3535,42.21797883919441,0.01144999999999996,-0.6081669224497016,-1.0175220647794596,46.66523333333335,0.3208012035859935,46.187,47.117,0.9299999999999997,46.679500000000004,46.66633599787609,0.010866666666666684,-0.06392774112455861,-1.4917033756708598,43.51988333333331,0.15795496105606271,43.273,43.875,0.6019999999999968,43.488,43.52016998032828,0.00983333333333339,0.37167963473128857,-0.6751191242433245,39.55896666666667,0.16996607177773895,39.227,39.828,0.6010000000000062,39.551,39.5593317966823,0.009500000000000005,-0.13568755189334009,-1.1914267094407829,0.5720000000000002,0.037631547049428254,0.525,0.669,0.14400000000000002,0.562,0.5732365422173759,-0.000583333333333332,1.2095391615331486,0.5708063681850666,59.59061666666667,23.76180540004741,0.0,81.01,81.01,69.0555,64.15344878167761,0.002183333333333337,-2.0207880413379744,2.3222786341573274,18.178433333333334,0.33279404875822055,17.418,18.788,1.370000000000001,18.1685,18.18147932191804,-0.0068000000000000204,-0.359160003263966,-0.5615517181247074,1.0786999999999998,0.018383235116087002,1.033,1.105,0.07200000000000006,1.079,1.0788566324277444,4.999999999999819e-05,-0.7093971590656698,-0.04295497289923755,3,100,0,130,1
9,159.47574499999968,14.429087721623523,144.12,191.14,47.01999999999998,154.77,160.12717388308266,-2.8333333333331248e-05,1.289021499691629,0.48669849634141205,108.52973849999994,46.76576758208712,0.0,167.22,167.22,128.77,118.17673695114436,-2.0000000000000757e-05,-1.834604258531088,1.50300612541868,1.8581203333333367,0.9142777168453131,0.0,10.789,10.789,2.141,2.0708729841944966,1.8333333333333313e-05,0.13396209992615268,9.48894763082731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.144616166666712,0.023756041448556794,9.085,9.206,0.12099999999999866,9.144,9.14464702354152,-4.833333333333319e-06,0.0126384600197168,-0.7610726804813166,9.057066833333351,0.024529826062141113,9.0,9.119,0.11899999999999977,9.057,9.05710005111095,-4.3333333333333e-06,0.04828780818876178,-0.8014782685398196,2484.4190666666937,193.51353743290247,2279.8,2909.4,629.5999999999999,2421.6,2491.9441382155405,-0.0006999999999999696,1.2697815998787645,0.4402802464161102,6.6716516666666665,3.011321005306014,0.0,19.577,19.577,7.792,7.3197670836122475,-0.0023783333333333326,-1.3621004210181646,1.7482589933186503,10.039710000000001,0.01929108343250835,9.991,10.098,0.1070000000000011,10.038,10.039728533680591,-6.000000000000227e-05,0.36686105504540856,-0.024379114339845298,42.89198333333331,0.4517018002940538,41.977,43.41,1.4329999999999998,43.0215,42.89436173651886,0.011083333333333438,-0.6153389426571009,-1.0394565619918843,47.339433333333325,0.31043219155808516,46.855,47.789,0.9340000000000046,47.2775,47.340451164587215,0.010800000000000054,0.004446773129807502,-1.5137857666260883,44.201249999999966,0.17602505740187485,43.875,44.457,0.5820000000000007,44.211,44.201600495721124,0.009700000000000012,-0.4671726055793509,-0.7955319678844721,40.08053333333334,0.17720595048950477,39.789,40.402,0.6129999999999995,40.078,40.08092506708563,0.009433333333333375,-0.14019452003905744,-1.161539534784959,0.5670666666666666,0.032289248296539105,0.516,0.65,0.134,0.559,0.5679852110750773,-0.0006166666666666653,0.8847193662982106,0.16180156278543345,59.608883333333324,23.79446201681648,0.0,81.186,81.186,69.0175,64.18251627130762,0.002616666666666608,-2.01250991112143,2.3010354819996515,18.334866666666663,0.3557913464689975,17.587,19.081,1.4939999999999998,18.351,18.338318438904555,-0.00216666666666665,0.337501326306564,-0.4895667968149149,1.1150833333333332,0.02266369465809921,1.073,1.168,0.09499999999999997,1.1105,1.1153136255481384,0.00033333333333333365,0.8018411133361195,-0.1167525912246461,3,100,0,130,1
10,159.43799666666678,14.41431631469161,144.16,191.16,47.0,154.77,160.08824846283937,3.333333333330302e-06,1.290189939053321,0.494008582605848,108.51088516666725,46.747980757853625,0.0,162.14,162.14,128.49,118.15238425266732,1.3333333333333049e-05,-1.8353196685592108,1.5041876724581655,1.8410633333333353,0.9114784224849023,0.0,10.758,10.758,2.117,2.054338606948711,1.0333333333333306e-05,0.18696055925128893,9.613671590200893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,9.104831499999985,0.023958911517081283,9.052,9.173,0.12100000000000044,9.106,9.104863023287837,-1.5000000000000568e-06,0.06725064037128343,-0.790570375875252,9.019264666666755,0.023898687932371848,8.965,9.087,0.12199999999999989,9.019,9.019296329241383,-4.0000000000001514e-06,0.13469835425845106,-0.7332749571533363,2480.434866666682,192.77918424365575,2274.0,2905.4,631.4000000000001,2417.4,2487.914978783079,0.0,1.2772452299477828,0.46375738535761757,6.659990000000001,3.0081362147626676,0.0,19.432,19.432,7.8,7.30782801430539,-0.0027066666666666675,-1.3795255712125236,1.7067157171382261,9.99776166666668,0.015664020255207616,9.962,10.053,0.09100000000000108,9.996,9.997773937482286,-7.666666666666563e-05,0.32529677355555525,-0.10071321984413029,43.532833333333336,0.4528453807745959,42.641,44.012,1.3710000000000022,43.623000000000005,43.53518860607666,0.010550000000000044,-0.5697536520384104,-1.0473728752009335,47.98141666666667,0.3152361174139502,47.449,48.422,0.972999999999999,47.967,47.98245220025754,0.010483333333333296,-0.13273965135182042,-1.3781256801382413,44.79713333333333,0.17338949090286723,44.527,45.129,0.6019999999999968,44.8165,44.79746888832001,0.009833333333333272,-0.1868268105751625,-0.9612679283885535,40.612549999999985,0.16505508423957566,40.375,40.918,0.5429999999999993,40.650000000000006,40.61288540209048,0.008266666666666703,0.04337497862125154,-1.1909768978952493,0.5716833333333334,0.03154810700431256,0.516,0.653,0.137,0.5665,0.5725531561930881,-0.0006833333333333321,0.5719820533050782,-0.05290453271431428,59.47373333333334,23.768681663670137,0.0,80.907,80.907,69.0075,64.04744479394424,-0.00036666666666675953,-2.0037469407272748,2.276698109799627,18.205733333333335,0.24185718007856527,17.72,18.746,1.0259999999999998,18.1735,18.207339759009272,0.00010000000000000379,0.3865514663165513,-0.28631331877765476,1.1291333333333335,0.015073670938280265,1.108,1.163,0.05499999999999994,1.1280000000000001,1.129233943875227,0.0004166666666666652,0.6017989139501522,-0.5631715572893103,3,100,0,130,1
